step,KE,PE,T_insta,P_insta
439,287.3571,-309.6405,90.3266,2.8203
440,287.4507,-309.7963,90.356,2.8218
441,287.6662,-310.0683,90.4237,2.822
442,287.9911,-310.4417,90.5258,2.8209
443,288.4087,-310.8984,90.6571,2.8189
444,288.8995,-311.4181,90.8114,2.8161
445,289.4428,-311.9798,90.9822,2.8129
446,290.0176,-312.5628,91.1628,2.8094
447,290.6039,-313.148,91.3471,2.8059
448,291.1838,-313.719,91.5294,2.8026
449,291.7421,-314.2617,91.7049,2.7997
450,292.2662,-314.765,91.8696,2.7974
451,292.7464,-315.2208,92.0206,2.7957
452,293.1759,-315.6233,92.1556,2.7948
453,293.5501,-315.9689,92.2732,2.7946
454,293.8662,-316.2556,92.3726,2.7952
455,294.1229,-316.4823,92.4533,2.7967
456,294.3192,-316.6482,92.515,2.7991
457,294.4544,-316.7527,92.5575,2.8023
458,294.5278,-316.795,92.5806,2.8064
459,294.5385,-316.7738,92.5839,2.8114
460,294.485,-316.6876,92.5671,2.8174
461,294.3658,-316.5349,92.5296,2.8244
462,294.1795,-316.3146,92.4711,2.8323
463,293.9251,-316.0259,92.3911,2.8411
464,293.6025,-315.6693,92.2897,2.8509
465,293.2125,-315.2461,92.1671,2.8617
466,292.7573,-314.7593,92.024,2.8733
467,292.2405,-314.2134,91.8616,2.8856
468,291.6672,-313.6142,91.6814,2.8987
469,291.0446,-312.9697,91.4857,2.9125
470,290.381,-312.2892,91.2771,2.9267
471,289.6869,-311.5838,91.0589,2.9413
472,288.9736,-310.8653,90.8347,2.9561
473,288.2538,-310.1468,90.6084,2.9709
474,287.5407,-309.4421,90.3843,2.9855
475,286.8483,-308.7649,90.1666,2.9997
476,286.1903,-308.1289,89.9598,3.0133
477,285.5802,-307.5474,89.768,3.0262
478,285.0308,-307.0325,89.5953,3.0382
479,284.5535,-306.5947,89.4453,3.0492
480,284.1579,-306.2429,89.3209,3.059
481,283.8518,-305.9834,89.2247,3.0675
