step,KE,PE,T_insta,P_insta
526,279.3651,-303.1406,87.8144,3.1967
527,279.1764,-303.2288,87.7551,3.1993
528,278.9392,-302.8853,87.6805,3.2052
529,278.6505,-302.5718,87.5898,3.2109
530,278.3134,-302.2124,87.4838,3.2171
531,277.9333,-301.8293,87.3643,3.2231
532,277.52,-301.4017,87.2344,3.2299
533,277.0807,-300.9532,87.0963,3.2367
534,276.6259,-300.495,86.9534,3.2435
535,276.1673,-300.2714,86.8092,3.2488
536,275.7145,-299.8269,86.6669,3.2552
537,275.2813,-299.4077,86.5307,3.2612
538,274.8788,-298.9146,86.4042,3.269
539,274.5214,-298.5654,86.2918,3.2741
540,274.2148,-298.2869,86.1955,3.2777
541,273.9659,-298.0697,86.1172,3.2805
542,273.7822,-297.921,86.0595,3.2823
543,273.6701,-297.7754,86.0242,3.2838
544,273.6412,-297.7869,86.0152,3.2834
545,273.694,-297.8818,86.0317,3.2818
546,273.8315,-298.0618,86.075,3.2791
547,274.0549,-298.351,86.1452,3.2746
548,274.3642,-298.701,86.2424,3.2695
549,274.7533,-299.1298,86.3647,3.2632
550,275.2145,-299.6227,86.5097,3.2562
551,275.7358,-300.1687,86.6736,3.2484
552,276.3023,-300.751,86.8516,3.2401
553,276.8955,-301.3499,87.0381,3.2315
554,277.4948,-301.944,87.2265,3.2229
555,278.0783,-302.5305,87.4099,3.214
556,278.6235,-303.0519,87.5813,3.2059
557,279.1107,-303.5035,87.7344,3.1988
558,279.5227,-303.8727,87.8639,3.1927
559,279.8461,-304.1482,87.9656,3.1877
560,280.0719,-304.2403,88.0366,3.1847
561,280.1973,-304.315,88.076,3.1821
562,280.2217,-304.2908,88.0836,3.1806
563,280.1505,-304.1754,88.0613,3.1801
564,279.9936,-304.0614,88.0119,3.1804
565,279.7643,-303.8019,87.9399,3.1815
566,279.4785,-303.4949,87.85,3.1833
567,279.1545,-303.159,87.7482,3.1852
568,278.8112,-302.7702,87.6403,3.1882
569,278.4709,-302.4373,87.5333,3.1899
570,278.1497,-302.1327,87.4323,3.1913
571,277.8656,-301.8736,87.343,3.192
